pressure,wind,class,radius_major_gale_axis,radius_minor_gale_axis,direc_major_gale_axis,image
992,45,3,120,120,symmetric,image/GMS500050700.200001.jpg
985,55,4,150,150,symmetric,image/GMS500050706.200001.jpg
980,55,4,150,150,symmetric,image/GMS500050712.200001.jpg
975,60,4,180,180,symmetric,image/GMS500050718.200001.jpg
970,65,5,200,200,symmetric,image/GMS500050800.200001.jpg
965,70,5,400,250,N,image/GMS500050806.200001.jpg
960,75,5,400,250,N,image/GMS500050812.200001.jpg
955,75,5,400,250,N,image/GMS500050818.200001.jpg
945,80,5,400,300,N,image/GMS500050900.200001.jpg
935,90,5,500,300,N,image/GMS500050906.200001.jpg
930,90,5,500,300,N,image/GMS500050912.200001.jpg
930,90,5,500,300,N,image/GMS500050918.200001.jpg
935,85,5,300,250,N,image/GMS500051000.200001.jpg
945,80,5,250,250,symmetric,image/GMS500051006.200001.jpg
955,75,5,240,240,symmetric,image/GMS500051012.200001.jpg
960,75,5,240,240,symmetric,image/GMS500051018.200001.jpg
965,70,5,200,200,symmetric,image/GMS500051100.200001.jpg
970,65,5,180,180,symmetric,image/GMS500051103.200001.jpg
970,65,5,180,180,symmetric,image/GMS500051109.200001.jpg
975,60,4,150,150,symmetric,image/GMS500051112.200001.jpg
975,55,4,150,150,symmetric,image/GMS500051115.200001.jpg
980,55,4,150,150,symmetric,image/GMS500051118.200001.jpg
980,55,4,150,150,symmetric,image/GMS500051121.200001.jpg
985,50,4,120,120,symmetric,image/GMS500051200.200001.jpg
994,35,3,100,100,symmetric,image/GMS500051206.200001.jpg
998,35,3,120,120,symmetric,image/GMS500051900.200002.jpg
994,40,3,140,140,symmetric,image/GMS500051906.200002.jpg
994,40,3,140,140,symmetric,image/GMS500051912.200002.jpg
992,40,3,140,140,symmetric,image/GMS500051915.200002.jpg
990,45,3,150,100,SE,image/GMS500051918.200002.jpg
992,40,3,120,80,SE,image/GMS500051921.200002.jpg
994,40,3,120,80,SE,image/GMS500052000.200002.jpg
990,40,3,200,200,symmetric,image/GMS500070306.200003.jpg
985,50,4,325,250,S,image/GMS500070312.200003.jpg
970,65,5,325,250,S,image/GMS500070318.200003.jpg
960,70,5,325,250,S,image/GMS500070400.200003.jpg
950,80,5,325,280,S,image/GMS500070406.200003.jpg
945,80,5,325,325,symmetric,image/GMS500070412.200003.jpg
945,80,5,350,300,SE,image/GMS500070418.200003.jpg
940,85,5,375,280,SE,image/GMS500070500.200003.jpg
940,85,5,400,260,SE,image/GMS500070506.200003.jpg
940,85,5,425,230,SE,image/GMS500070512.200003.jpg
945,80,5,450,230,SE,image/GMS500070518.200003.jpg
950,80,5,425,230,SE,image/GMS500070600.200003.jpg
955,75,5,400,230,SE,image/GMS500070606.200003.jpg
955,75,5,400,230,S,image/GMS500070612.200003.jpg
955,75,5,400,240,S,image/GMS500070618.200003.jpg
955,75,5,400,240,SE,image/GMS500070700.200003.jpg
955,75,5,350,240,SE,image/GMS500070706.200003.jpg
955,75,5,325,230,SE,image/GMS500070709.200003.jpg
955,75,5,325,230,SE,image/GMS500070712.200003.jpg
955,75,5,325,230,SE,image/GMS500070715.200003.jpg
955,75,5,325,200,SE,image/GMS500070718.200003.jpg
960,70,5,325,170,SE,image/GMS500070721.200003.jpg
970,60,4,300,150,SE,image/GMS500070800.200003.jpg
975,55,4,280,130,SE,image/GMS500070803.200003.jpg
975,55,4,250,100,SE,image/GMS500070806.200003.jpg
980,50,4,230,100,SE,image/GMS500070809.200003.jpg
985,50,4,210,100,SE,image/GMS500070812.200003.jpg
985,50,4,210,100,SE,image/GMS500070815.200003.jpg
985,50,4,200,100,SE,image/GMS500070818.200003.jpg
992,40,3,60,60,symmetric,image/GMS500070518.200004.jpg
985,50,4,120,120,symmetric,image/GMS500070600.200004.jpg
975,60,4,150,150,symmetric,image/GMS500070606.200004.jpg
970,65,5,170,170,symmetric,image/GMS500070612.200004.jpg
965,70,5,170,170,symmetric,image/GMS500070618.200004.jpg
960,75,5,170,170,symmetric,image/GMS500070700.200004.jpg
960,75,5,170,170,symmetric,image/GMS500070706.200004.jpg
960,75,5,170,170,symmetric,image/GMS500070712.200004.jpg
960,75,5,170,170,symmetric,image/GMS500070718.200004.jpg
965,70,5,160,160,symmetric,image/GMS500070800.200004.jpg
970,65,5,160,160,symmetric,image/GMS500070806.200004.jpg
980,55,4,150,150,symmetric,image/GMS500070812.200004.jpg
980,55,4,200,120,E,image/GMS500070818.200004.jpg
985,50,4,200,120,E,image/GMS500070900.200004.jpg
985,50,4,200,120,E,image/GMS500070903.200004.jpg
985,50,4,200,120,E,image/GMS500070906.200004.jpg
990,45,3,200,120,E,image/GMS500070909.200004.jpg
990,45,3,220,100,E,image/GMS500070912.200004.jpg
990,40,3,170,100,E,image/GMS500070918.200004.jpg
992,40,3,170,100,E,image/GMS500071000.200004.jpg
994,35,3,160,90,E,image/GMS500071006.200004.jpg
994,35,3,150,80,E,image/GMS500071012.200004.jpg
998,35,3,90,60,E,image/GMS500071900.200005.jpg
998,35,3,90,60,E,image/GMS500071903.200005.jpg
996,35,3,90,60,E,image/GMS500071906.200005.jpg
996,35,3,90,60,E,image/GMS500071909.200005.jpg
996,35,3,90,60,E,image/GMS500071912.200005.jpg
992,40,3,140,90,E,image/GMS500071918.200005.jpg
992,40,3,130,70,E,image/GMS500072000.200005.jpg
992,40,3,130,70,E,image/GMS500072006.200005.jpg
992,40,3,120,60,E,image/GMS500072012.200005.jpg
992,40,3,120,60,E,image/GMS500072018.200005.jpg
994,35,3,120,60,E,image/GMS500072100.200005.jpg
994,35,3,120,60,E,image/GMS500072106.200005.jpg
994,35,3,120,60,E,image/GMS500072112.200005.jpg
992,35,3,70,70,symmetric,image/GMS500072518.200006.jpg
990,40,3,100,100,symmetric,image/GMS500072600.200006.jpg
990,40,3,120,120,symmetric,image/GMS500072603.200006.jpg
985,40,3,150,150,symmetric,image/GMS500072606.200006.jpg
